122.63,241.96
461.46,929.37
693.94,477.59
195.08,241.44
44.84,591.66
143.54,70.82
692.59,955.9
644.88,291.33
335.08,935.6
924.89,335.77
495.83,65.46
818.13,218
492.6,256.51
492.86,944.31
881.96,643.34
586.05,937.9
688.87,34.06
31.45,164.8
945.62,410.81
862.84,588.81
491.06,219.63
959.94,176.61
857.87,17.26
891.84,386.53
347.13,690.87
518.21,619.24
126.12,338.95
242.98,222.77
197.84,693.46
809.26,886.67
645.86,418.12
514.64,537.31
23.58,658.86
447.24,979.97
848.88,152.25
703.68,271.1
770.88,554.71
282.3,487.55
511.86,366.21
980.1,877.26
628.77,636.9
287.62,513.73
448.04,484.57
216.94,37.3
859.61,868.22
204.98,314.92
248.5,926.56
554.52,262.04
549.53,480.94
748,832.93
160.92,606.03
98.07,144.33
443.45,857.05
323.12,162.92
481.66,975.2
512.61,896.03
546.65,655.08
803.28,705.83
253.78,305.01
57.25,712.62
464.6,50.69
609.84,736.67
473.47,501.41
554.56,75.61
923.13,512.48
720.97,206.2
984.8,757.55
181.87,183.14
690.79,65.23
270.65,413.21
633.54,899.58
267.96,599.33
909.71,204.24
87.53,386.77
181.87,797.08
173.52,396.78
321.3,52.73
691.29,174.92
39.62,470.6
164.33,178.84
931.37,791.91
176.88,182.01
966.21,201.27
381.8,563.41
302.99,929.65
442.31,849.13
907.36,450.58
509.34,639.06
966.72,942.26
18,265.75
598.95,481.83
84.09,123.32
343.58,105.69
726.51,798.79
511.65,454.53
69.99,959.5
659.45,927.74
566.2,198.83
460.74,571.2
999.18,218.22
592.13,250.5
615.53,247.69
651.65,713.87
527.96,932.78
912.21,539.06
739.22,460.1
687.02,739.17
317.13,452.16
131.83,786.69
347.7,326.05
166.85,39.04
496.12,380.09
839.45,254.32
622.76,167.14
587.78,41.72
618.24,642.87
967.48,469.38
679.57,0.06
828.53,245.34
848.34,904.13
305.1,453.5
539.33,648.2
783.6,623.86
649.65,315.47
720.61,756.57
581.7,743.93
269.84,767.9
